Player,Age,Tm,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Cam Christie,20.0,LAC,SG,51.0,0.0,461.0,9.7,0.494,0.371,0.379,4.7,14.3,9.6,8.9,1.7,0.6,12.0,16.9,-0.1,0.4,0.2,0.023,-3.2,-0.9,-4.2,-0.3,
Taurean Prince,31.0,MIL,SF,21.0,3.0,456.0,8.8,0.589,0.718,0.038,0.7,11.6,6.2,9.1,1.4,0.9,13.1,14.9,0.0,0.2,0.2,0.024,-2.7,-1.6,-4.3,-0.3,
Ariel Hukporti,23.0,NYK,C,52.0,4.0,455.0,11.6,0.612,0.059,0.485,12.9,22.9,17.9,7.4,0.9,5.4,26.0,10.5,0.4,0.7,1.1,0.114,-3.8,1.4,-2.3,0.0,
Asa Newell,20.0,ATL,PF,42.0,1.0,453.0,14.1,0.63,0.461,0.162,9.2,10.7,10.0,7.0,1.6,2.6,11.3,17.1,0.6,0.5,1.1,0.114,-1.0,-0.5,-1.4,0.1,
Moussa Cisse,23.0,DAL,C,35.0,1.0,448.0,15.1,0.567,0.0,0.733,17.0,25.3,21.2,2.4,1.6,7.4,17.9,13.6,0.2,0.8,1.0,0.109,-4.0,1.2,-2.8,-0.1,
Jeremy Sochan,22.0,2TM,PF,42.0,0.0,443.0,11.6,0.559,0.325,0.2,8.2,16.2,12.3,10.4,1.8,1.5,13.9,14.4,0.3,0.7,1.0,0.11,-2.8,1.0,-1.7,0.0,
Jeremy Sochan,22.0,SAS,PF,28.0,0.0,358.0,9.7,0.538,0.354,0.162,8.0,13.8,11.0,10.2,1.3,1.2,14.5,14.6,0.1,0.5,0.6,0.085,-3.5,0.5,-3.0,-0.1,
Jeremy Sochan,22.0,NYK,PF,14.0,0.0,85.0,19.6,0.653,0.19,0.381,9.1,26.4,17.7,11.2,3.5,2.4,10.9,13.8,0.2,0.2,0.4,0.215,0.3,3.4,3.6,0.1,
Amir Coffey,28.0,2TM,SG,43.0,2.0,437.0,10.2,0.593,0.441,0.301,4.5,8.8,6.7,7.4,0.9,1.1,5.4,11.1,0.6,0.2,0.8,0.087,-2.1,-0.9,-3.0,-0.1,
Amir Coffey,28.0,MIL,SG,30.0,2.0,265.0,8.4,0.584,0.455,0.273,2.6,8.5,5.5,5.5,0.6,1.1,6.1,10.9,0.2,0.0,0.3,0.048,-3.2,-2.0,-5.3,-0.2,
Amir Coffey,28.0,PHX,SG,13.0,0.0,172.0,12.9,0.606,0.421,0.342,7.5,9.4,8.4,10.2,1.4,1.1,4.4,11.3,0.4,0.1,0.5,0.147,-0.4,0.8,0.4,0.1,
Terrence Shannon Jr.,25.0,MIN,SG,38.0,1.0,436.0,8.3,0.548,0.444,0.355,2.3,8.1,5.3,8.1,1.4,0.2,11.2,15.6,0.1,0.4,0.5,0.058,-4.1,-0.4,-4.5,-0.3,
Bogdan Bogdanović,33.0,LAC,SG,21.0,3.0,429.0,8.2,0.507,0.603,0.177,1.7,13.2,7.6,16.6,1.2,0.2,14.6,18.4,-0.2,0.3,0.1,0.009,-2.9,-0.9,-3.9,-0.2,
Yanic Konan Niederhäuser,22.0,LAC,C,41.0,0.0,424.0,16.5,0.691,0.05,0.62,10.5,21.4,16.1,4.1,0.6,6.7,15.3,15.7,0.8,0.5,1.3,0.151,-2.5,0.3,-2.2,0.0,
Tony Bradley,28.0,IND,C,38.0,3.0,416.0,13.1,0.604,0.019,0.406,14.3,13.7,14.0,6.8,0.7,1.4,12.0,14.5,0.7,0.2,0.9,0.1,-2.4,-1.7,-4.1,-0.2,
Moritz Wagner,28.0,ORL,C,34.0,0.0,416.0,15.2,0.549,0.362,0.383,6.7,23.0,14.8,9.2,1.7,0.2,8.0,24.3,0.3,0.5,0.9,0.1,-1.5,-0.9,-2.3,0.0,
Marcus Sasser,25.0,DET,PG,33.0,5.0,413.0,12.1,0.554,0.608,0.114,1.6,7.5,4.6,22.6,2.3,0.7,14.9,19.6,0.3,0.6,0.9,0.1,-1.2,0.1,-1.1,0.1,
Jayson Tatum,27.0,BOS,PF,13.0,13.0,409.0,20.9,0.535,0.511,0.238,1.9,32.1,17.3,25.2,2.1,0.5,9.1,30.3,0.5,0.8,1.3,0.158,3.4,1.6,4.9,0.7,
Maxi Kleber,34.0,LAL,PF,38.0,1.0,403.0,8.7,0.53,0.365,0.381,9.3,12.4,10.9,7.1,1.9,2.3,16.0,9.5,0.2,0.4,0.6,0.073,-3.8,0.5,-3.3,-0.1,
Matisse Thybulle,28.0,POR,SG,26.0,0.0,397.0,15.0,0.605,0.699,0.204,4.3,10.8,7.5,8.0,5.9,2.9,15.7,14.9,0.3,0.8,1.1,0.135,-1.5,5.9,4.3,0.6,
Myron Gardner,24.0,MIA,SF,41.0,7.0,395.0,15.6,0.609,0.538,0.218,9.8,20.9,15.3,13.3,2.3,1.8,10.3,15.0,0.8,0.6,1.4,0.17,-0.8,2.0,1.1,0.3,
Taelon Peter,23.0,IND,SG,33.0,0.0,394.0,8.6,0.516,0.828,0.102,1.6,11.6,6.5,11.5,2.4,0.9,13.6,16.7,-0.3,0.3,0.0,-0.004,-3.9,-0.8,-4.7,-0.3,
Branden Carlson,26.0,OKC,C,38.0,2.0,393.0,15.4,0.596,0.449,0.13,6.9,19.6,13.5,8.0,0.7,5.0,9.3,17.7,0.4,0.8,1.2,0.147,-0.7,0.5,-0.2,0.2,
Jamal Cain,26.0,ORL,SF,35.0,1.0,390.0,12.5,0.618,0.492,0.306,5.7,11.3,8.5,8.5,1.4,0.5,10.8,17.1,0.5,0.3,0.9,0.106,-0.8,-1.1,-1.9,0.0,
Dejounte Murray,29.0,NOP,PG,14.0,14.0,389.0,18.2,0.58,0.341,0.247,1.1,19.9,10.4,35.7,2.8,0.7,18.9,26.8,0.2,0.4,0.6,0.073,0.8,0.5,1.4,0.3,
AJ Johnson,21.0,2TM,SG,44.0,0.0,386.0,5.2,0.401,0.338,0.162,3.0,10.8,6.9,14.3,1.2,0.4,13.6,19.1,-0.8,0.1,-0.7,-0.09,-6.2,-2.1,-8.3,-0.6,
AJ Johnson,21.0,WAS,SG,25.0,0.0,214.0,4.4,0.396,0.301,0.145,4.0,11.7,7.8,13.9,1.6,0.0,16.9,20.8,-0.6,0.0,-0.6,-0.135,-7.2,-3.3,-10.5,-0.5,
AJ Johnson,21.0,DAL,SG,19.0,0.0,172.0,6.2,0.407,0.39,0.186,1.9,9.8,5.9,14.7,0.8,1.0,8.6,17.0,-0.2,0.1,-0.1,-0.035,-5.0,-0.6,-5.6,-0.2,
Trae Young,27.0,2TM,PG,15.0,15.0,384.0,21.1,0.612,0.452,0.548,1.1,7.4,4.2,45.8,1.6,0.5,15.1,28.1,1.2,0.2,1.4,0.174,4.3,-1.4,2.8,0.5,
Trae Young,27.0,ATL,PG,10.0,10.0,280.0,19.9,0.577,0.437,0.541,0.0,5.9,2.9,45.1,1.7,0.3,13.5,28.8,0.7,0.2,1.0,0.163,3.5,-1.7,1.8,0.3,
Trae Young,27.0,WAS,PG,5.0,5.0,104.0,24.6,0.723,0.5,0.571,4.1,11.5,7.7,47.7,1.4,0.8,19.8,26.4,0.4,0.0,0.4,0.205,6.3,-0.6,5.6,0.2,
Julian Phillips,22.0,2TM,SF,44.0,2.0,371.0,10.1,0.545,0.545,0.172,6.4,6.8,6.6,3.2,2.7,1.6,7.0,12.9,0.2,0.3,0.5,0.065,-2.5,0.4,-2.1,0.0,
Julian Phillips,22.0,CHI,SF,35.0,2.0,334.0,9.3,0.533,0.557,0.125,7.1,6.9,7.0,2.7,2.4,1.6,7.0,12.5,0.1,0.2,0.4,0.052,-2.9,0.0,-2.9,-0.1,
Julian Phillips,22.0,MIN,SF,9.0,0.0,37.0,17.6,0.623,0.455,0.545,0.0,5.8,3.0,7.3,5.2,2.4,6.8,16.7,0.1,0.1,0.1,0.181,0.7,4.1,4.8,0.1,
Larry Nance Jr.,33.0,CLE,PF,31.0,2.0,369.0,9.1,0.481,0.539,0.069,7.7,16.1,11.9,9.9,2.2,1.0,11.8,13.6,0.0,0.4,0.5,0.063,-4.0,0.8,-3.2,-0.1,
Cameron Payne,31.0,PHI,PG,21.0,1.0,366.0,14.6,0.517,0.651,0.151,0.9,11.5,6.1,21.8,3.2,1.8,6.6,19.2,0.4,0.4,0.8,0.107,-0.6,0.9,0.4,0.2,
Liam McNeeley,20.0,CHA,SF,30.0,0.0,363.0,10.8,0.594,0.638,0.415,4.1,18.0,11.2,8.5,0.7,0.8,10.5,14.5,0.5,0.4,0.9,0.114,-1.2,-0.1,-1.2,0.1,
Jeremiah Robinson-Earl,25.0,2TM,PF,22.0,3.0,361.0,9.4,0.468,0.41,0.18,10.6,20.5,15.5,5.6,1.2,0.2,10.0,14.1,0.0,0.2,0.2,0.029,-3.4,-1.8,-5.2,-0.3,
Jeremiah Robinson-Earl,25.0,IND,PF,17.0,3.0,300.0,8.7,0.443,0.398,0.169,11.4,20.9,16.0,5.3,1.1,0.3,10.1,14.0,-0.1,0.2,0.1,0.014,-3.5,-1.9,-5.5,-0.3,
Jeremiah Robinson-Earl,25.0,DAL,PF,5.0,0.0,61.0,13.0,0.586,0.471,0.235,7.0,18.9,13.0,6.7,1.5,0.0,9.6,14.3,0.1,0.1,0.1,0.099,-3.1,-1.1,-4.1,0.0,
Kelly Olynyk,34.0,SAS,C,42.0,0.0,360.0,13.5,0.59,0.49,0.396,7.4,15.1,11.3,17.7,2.0,0.7,17.6,16.0,0.4,0.6,1.0,0.132,-1.3,1.3,-0.1,0.2,
Doug McDermott,34.0,SAC,SF,25.0,0.0,360.0,8.8,0.593,0.912,0.018,1.8,7.4,4.5,6.1,0.5,0.8,8.1,14.6,0.2,-0.1,0.2,0.021,-1.0,-3.1,-4.1,-0.2,
Bez Mbeng,22.0,UTA,SG,12.0,3.0,358.0,6.8,0.461,0.377,0.283,3.9,8.1,5.9,13.4,2.8,1.4,20.1,8.6,-0.1,0.1,0.1,0.009,-6.5,0.0,-6.5,-0.4,
Cam Whitmore,21.0,WAS,SF,21.0,0.0,354.0,13.7,0.528,0.331,0.183,5.7,12.0,8.8,6.5,2.0,2.0,9.0,23.7,-0.1,0.1,0.0,0.0,-1.1,-2.1,-3.2,-0.1,
Jae'Sean Tate,30.0,HOU,SF,42.0,0.0,353.0,10.2,0.558,0.313,0.104,8.3,10.2,9.2,7.2,1.3,0.8,10.7,13.4,0.4,0.3,0.7,0.093,-3.6,-0.6,-4.2,-0.2,
Blake Wesley,22.0,POR,SG,28.0,0.0,353.0,11.2,0.519,0.292,0.375,2.4,9.0,5.7,25.4,2.2,1.3,17.7,19.5,0.0,0.4,0.3,0.046,-3.3,0.1,-3.2,-0.1,
Isaiah Livers,27.0,PHX,PF,36.0,0.0,347.0,7.6,0.469,0.625,0.188,5.9,14.0,9.8,7.7,1.8,2.2,14.8,9.9,0.0,0.4,0.4,0.056,-3.7,1.1,-2.6,0.0,
Oscar Tshiebwe,26.0,UTA,C,23.0,2.0,347.0,19.6,0.633,0.0,0.34,18.6,21.7,20.2,10.1,1.8,0.8,9.9,15.6,0.9,0.2,1.1,0.146,1.0,-2.8,-1.8,0.0,
Khaman Maluach,19.0,PHX,C,42.0,0.0,343.0,13.0,0.591,0.183,0.378,11.9,21.5,16.5,2.4,0.6,7.8,20.1,14.8,0.1,0.5,0.6,0.082,-4.2,0.1,-4.2,-0.2,
Andre Jackson Jr.,24.0,MIL,SG,44.0,1.0,342.0,7.3,0.438,0.52,0.196,8.0,11.5,9.7,14.9,2.3,0.6,19.0,17.7,-0.5,0.2,-0.2,-0.035,-5.1,-1.6,-6.7,-0.4,
Ty Jerome,28.0,MEM,SG,15.0,15.0,339.0,25.7,0.616,0.465,0.26,3.5,10.0,6.7,44.9,2.2,1.1,10.1,32.7,1.2,0.2,1.4,0.196,8.2,-0.6,7.6,0.8,
Christian Koloko,25.0,3TM,C,26.0,4.0,336.0,9.3,0.467,0.101,0.159,8.9,14.7,11.8,6.4,2.0,6.0,15.0,10.8,-0.1,0.4,0.4,0.053,-5.3,1.5,-3.8,-0.2,
Christian Koloko,25.0,LAL,C,2.0,0.0,6.0,-0.3,,,,0.0,19.0,9.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.024,-6.7,-1.7,-8.5,0.0,
Christian Koloko,25.0,MEM,C,11.0,2.0,195.0,9.0,0.394,0.029,0.114,10.5,14.1,12.2,6.5,2.4,6.2,16.0,9.3,-0.1,0.2,0.1,0.033,-4.7,1.7,-3.0,0.0,
Christian Koloko,25.0,ATL,C,13.0,2.0,135.0,10.2,0.539,0.176,0.206,7.1,15.5,11.3,6.6,1.4,6.1,13.9,13.3,0.0,0.2,0.2,0.083,-6.1,1.3,-4.8,-0.1,
Obi Toppin,27.0,IND,PF,19.0,3.0,322.0,17.7,0.617,0.549,0.19,3.3,23.2,13.0,20.7,1.5,0.3,12.0,23.1,0.4,0.2,0.7,0.098,1.9,-0.5,1.4,0.3,
Nick Smith Jr.,21.0,LAL,SG,25.0,1.0,318.0,9.2,0.53,0.519,0.083,0.8,6.4,3.7,12.6,1.4,0.6,12.1,21.5,-0.2,0.2,0.0,-0.005,-2.9,-2.3,-5.2,-0.3,
Killian Hayes,24.0,SAC,PG,19.0,3.0,316.0,7.7,0.39,0.459,0.144,1.0,15.3,8.0,28.3,1.8,1.2,15.1,18.7,-0.5,0.1,-0.4,-0.054,-5.5,-1.5,-7.0,-0.4,
Tyler Burton,25.0,MEM,SF,12.0,0.0,307.0,9.5,0.521,0.589,0.241,2.8,15.0,8.8,5.4,1.7,1.2,8.2,18.3,0.0,0.2,0.2,0.027,-3.5,-2.0,-5.4,-0.3,
Yang Hansen,20.0,POR,C,41.0,1.0,296.0,3.8,0.413,0.42,0.34,7.2,16.7,11.9,10.0,0.5,3.0,21.8,20.1,-0.8,0.3,-0.5,-0.076,-8.9,-0.6,-9.6,-0.6,
Bronny James,21.0,LAL,SG,37.0,1.0,292.0,8.3,0.494,0.46,0.08,1.7,5.1,3.4,18.5,2.3,1.3,17.4,16.3,-0.2,0.2,0.1,0.009,-3.5,-0.9,-4.4,-0.2,
Pat Connaughton,33.0,CHA,SG,39.0,0.0,287.0,13.5,0.599,0.614,0.241,5.2,17.4,11.4,8.7,1.9,0.3,9.8,15.0,0.4,0.3,0.7,0.123,0.1,0.4,0.5,0.2,
Zach Edey,23.0,MEM,C,11.0,11.0,284.0,20.8,0.669,0.051,0.327,16.3,30.5,23.3,6.6,1.2,6.8,18.8,20.2,0.4,0.4,0.8,0.139,-0.6,1.1,0.6,0.2,
Brooks Barnhizer,23.0,OKC,SG,37.0,0.0,283.0,6.9,0.438,0.333,0.118,5.6,18.0,12.1,8.2,1.2,1.4,13.0,9.4,-0.1,0.5,0.5,0.078,-4.0,1.4,-2.6,0.0,
Chaney Johnson,23.0,BKN,SF,14.0,0.0,282.0,15.4,0.646,0.347,0.389,9.8,14.8,12.2,17.9,2.3,2.3,17.6,15.8,0.5,0.2,0.7,0.124,-0.7,0.9,0.2,0.2,
Leaky Black,26.0,WAS,SF,9.0,5.0,281.0,10.0,0.566,0.459,0.131,4.9,15.5,10.1,7.9,1.2,2.2,8.5,10.5,0.2,0.1,0.3,0.053,-2.1,-1.2,-3.3,-0.1,
Lindy Waters III,28.0,SAS,SG,39.0,0.0,280.0,7.2,0.527,0.895,0.035,1.2,9.4,5.4,8.6,0.9,0.3,7.4,14.2,0.1,0.3,0.4,0.061,-3.0,-0.5,-3.5,-0.1,
LJ Cryer,24.0,GSW,PG,17.0,1.0,277.0,9.8,0.586,0.802,0.171,1.6,9.4,5.4,8.4,0.3,0.0,9.1,20.1,0.2,0.1,0.3,0.048,-1.8,-3.0,-4.8,-0.2,
Malaki Branham,22.0,WAS,SG,28.0,0.0,275.0,14.1,0.604,0.407,0.374,4.6,12.6,8.6,11.8,1.7,1.0,12.4,18.4,0.3,0.1,0.4,0.066,-0.8,-1.5,-2.2,0.0,
Ron Harper Jr.,25.0,BOS,SF,26.0,2.0,268.0,11.4,0.531,0.771,0.024,5.8,10.8,8.4,8.4,1.1,3.4,5.6,14.4,0.3,0.3,0.6,0.108,-0.4,0.9,0.5,0.2,
Jordan McLaughlin,29.0,SAS,PG,41.0,0.0,266.0,11.3,0.531,0.52,0.067,2.1,8.7,5.5,17.7,3.4,0.7,16.3,14.6,0.0,0.5,0.5,0.09,-2.4,2.4,0.0,0.1,
Duop Reath,29.0,POR,C,32.0,0.0,258.0,10.6,0.613,0.743,0.081,4.1,11.9,8.0,5.4,0.9,2.8,8.4,13.2,0.3,0.2,0.6,0.103,-0.9,0.0,-0.9,0.1,
Kevon Looney,29.0,NOP,C,19.0,6.0,254.0,13.5,0.452,0.167,0.148,18.5,24.1,21.3,12.7,1.1,3.4,12.2,10.8,0.3,0.2,0.5,0.102,-1.5,-0.9,-2.4,0.0,
Kennedy Chandler,23.0,UTA,PG,8.0,1.0,251.0,10.4,0.474,0.284,0.326,1.7,9.3,5.4,28.1,1.3,0.8,12.1,20.3,0.0,0.0,0.0,-0.009,-4.1,-3.2,-7.3,-0.3,
KJ Simpson,23.0,2TM,PG,18.0,2.0,248.0,8.2,0.424,0.412,0.186,3.7,11.6,7.7,23.8,3.2,0.0,18.6,22.0,-0.4,0.3,-0.1,-0.021,-5.4,0.5,-4.8,-0.2,
KJ Simpson,23.0,CHA,PG,14.0,2.0,223.0,7.8,0.437,0.438,0.18,2.6,11.9,7.3,22.0,3.3,0.0,20.0,22.8,-0.5,0.3,-0.2,-0.033,-5.6,0.3,-5.3,-0.2,
KJ Simpson,23.0,DEN,PG,4.0,0.0,25.0,11.9,0.282,0.125,0.25,14.1,8.6,11.2,39.6,2.0,0.0,0.0,15.4,0.0,0.0,0.0,0.088,-3.3,2.4,-0.9,0.0,
DeJon Jarreau,28.0,MEM,SG,11.0,0.0,231.0,9.8,0.473,0.361,0.277,5.6,18.5,12.0,21.7,2.1,3.2,21.8,21.5,-0.4,0.2,-0.1,-0.03,-5.0,-0.4,-5.4,-0.2,
Chaz Lanier,24.0,DET,SG,29.0,0.0,230.0,7.6,0.458,0.766,0.078,3.4,6.2,4.9,8.3,1.5,0.0,2.4,14.7,0.1,0.2,0.3,0.066,-3.2,-0.9,-4.1,-0.1,
Joan Beringer,19.0,MIN,PF,35.0,1.0,228.0,18.8,0.658,0.0,0.304,16.1,15.5,15.8,5.1,1.0,5.7,9.3,15.9,0.6,0.3,0.9,0.194,-0.9,0.3,-0.7,0.1,
Chris Paul,40.0,LAC,PG,16.0,0.0,228.0,8.1,0.413,0.536,0.036,3.2,11.0,7.2,30.6,2.4,0.0,22.0,14.2,-0.1,0.2,0.1,0.016,-4.0,-0.2,-4.2,-0.1,
Lachlan Olbrich,22.0,CHI,C,32.0,0.0,227.0,10.1,0.505,0.24,0.56,11.9,20.4,16.2,12.1,1.2,1.5,17.3,13.9,0.0,0.2,0.2,0.047,-4.2,-0.6,-4.8,-0.2,
Tyson Etienne,26.0,BKN,PG,19.0,0.0,223.0,13.1,0.641,0.84,0.222,1.0,5.5,3.1,16.5,1.8,0.0,10.1,19.3,0.4,0.1,0.5,0.098,0.5,-1.2,-0.7,0.1,
Jonathan Mogbo,24.0,TOR,PF,35.0,0.0,220.0,13.1,0.573,0.024,0.293,9.7,21.8,15.7,12.9,2.2,3.5,19.2,11.1,0.2,0.4,0.6,0.12,-2.5,1.7,-0.8,0.1,
Julian Reese,22.0,WAS,PF,7.0,6.0,217.0,13.4,0.61,0.0,0.436,13.2,25.0,19.0,8.3,1.5,1.2,22.5,16.3,0.1,0.1,0.2,0.05,-3.2,-1.8,-4.9,-0.2,
Blake Hinson,26.0,UTA,SF,11.0,1.0,214.0,15.3,0.711,0.74,0.156,4.0,8.3,6.1,6.1,0.2,0.9,2.4,16.3,0.6,-0.1,0.5,0.112,2.6,-3.3,-0.7,0.1,
PJ Hall,23.0,2TM,C,19.0,2.0,214.0,15.9,0.599,0.085,0.492,17.7,21.7,19.7,6.6,0.7,4.3,18.2,17.3,0.3,0.3,0.6,0.126,-1.6,-0.7,-2.3,0.0,
PJ Hall,23.0,MEM,C,7.0,0.0,27.0,19.0,0.63,0.333,0.333,11.9,24.4,18.1,11.0,0.0,6.9,8.8,17.4,0.1,0.0,0.1,0.156,1.8,0.1,1.8,0.0,
PJ Hall,23.0,CHA,C,12.0,2.0,187.0,15.4,0.594,0.04,0.52,18.5,21.3,19.9,6.0,0.8,3.9,19.6,17.3,0.2,0.2,0.5,0.122,-2.0,-0.8,-2.9,0.0,
Scotty Pippen Jr.,25.0,MEM,PG,10.0,6.0,212.0,14.8,0.537,0.333,0.24,4.1,7.3,5.6,33.8,4.3,1.7,20.3,26.1,-0.1,0.2,0.1,0.03,-2.6,-0.3,-2.9,0.0,
Keshad Johnson,24.0,MIA,SF,27.0,0.0,210.0,13.2,0.543,0.463,0.305,9.2,15.4,12.3,2.6,2.2,3.0,11.4,20.3,0.0,0.3,0.3,0.069,-2.5,-0.2,-2.7,0.0,
Malevy Leons,26.0,GSW,SF,21.0,1.0,203.0,10.9,0.475,0.25,0.212,12.4,9.5,10.9,10.0,2.4,3.2,12.3,13.5,0.1,0.2,0.3,0.071,-3.7,0.0,-3.6,-0.1,
E.J. Liddell,25.0,BKN,PF,21.0,0.0,203.0,7.3,0.458,0.579,0.123,4.9,18.7,11.5,11.0,0.7,3.6,11.8,14.6,-0.2,0.1,0.0,-0.003,-5.2,-0.9,-6.0,-0.2,
DaRon Holmes,23.0,DEN,PF,22.0,6.0,200.0,12.6,0.7,0.724,0.19,3.5,12.9,8.4,10.8,0.0,1.9,14.9,16.0,0.3,0.1,0.4,0.097,0.5,-1.5,-1.0,0.1,
DeAndre Jordan,37.0,NOP,C,12.0,7.0,199.0,15.8,0.671,0.0,0.531,14.0,27.4,20.6,7.3,1.0,4.8,18.6,10.2,0.3,0.2,0.6,0.135,-0.5,0.2,-0.3,0.1,
Garrison Mathews,29.0,IND,SG,15.0,1.0,196.0,11.3,0.628,0.885,0.442,1.1,8.5,4.7,6.9,1.5,1.3,4.6,14.1,0.3,0.1,0.4,0.095,-1.2,-0.1,-1.3,0.0,
Nigel Hayes-Davis,31.0,PHX,SF,27.0,0.0,195.0,4.2,0.356,0.348,0.087,6.6,12.4,9.4,4.6,2.0,1.0,14.3,12.1,-0.3,0.2,-0.1,-0.024,-6.4,-0.9,-7.3,-0.3,
Max Strus,29.0,CLE,SF,8.0,2.0,195.0,17.9,0.747,0.817,0.085,4.5,22.0,13.2,10.9,0.7,0.0,8.7,17.4,0.6,0.2,0.8,0.189,3.9,-0.6,3.3,0.3,
JD Davison,23.0,HOU,PG,27.0,0.0,192.0,10.1,0.494,0.509,0.236,1.2,12.5,6.9,19.1,1.3,1.9,10.3,14.9,0.1,0.2,0.3,0.086,-2.9,0.8,-2.0,0.0,
Nate Williams,26.0,GSW,SG,12.0,1.0,192.0,10.8,0.583,0.309,0.191,8.5,5.3,6.9,7.7,1.3,0.0,13.0,18.7,0.1,0.1,0.2,0.053,-3.0,-2.4,-5.4,-0.2,
MarJon Beauchamp,25.0,PHI,SF,12.0,1.0,190.0,13.3,0.565,0.622,0.23,3.4,14.6,8.9,11.4,2.3,2.0,13.8,21.0,0.0,0.2,0.2,0.057,-0.6,-0.9,-1.5,0.0,
Drew Timme,25.0,LAL,PF,23.0,0.0,187.0,13.7,0.666,0.373,0.137,5.8,11.6,8.8,12.7,1.3,0.0,11.5,14.3,0.4,0.1,0.5,0.119,0.0,-1.1,-1.1,0.0,
Zach Collins,28.0,CHI,C,10.0,0.0,184.0,17.9,0.666,0.328,0.313,9.4,22.9,16.2,12.1,0.5,1.9,12.1,18.8,0.4,0.1,0.5,0.136,1.0,-0.7,0.2,0.1,
Chris Youngblood,23.0,2TM,SG,33.0,0.0,183.0,10.7,0.527,0.857,0.159,4.3,12.0,8.3,8.7,1.1,1.6,2.9,16.4,0.2,0.3,0.5,0.12,-2.0,-0.2,-2.2,0.0,
Chris Youngblood,23.0,OKC,SG,32.0,0.0,174.0,10.1,0.505,0.85,0.167,4.5,12.6,8.7,8.2,1.1,1.7,3.0,16.5,0.1,0.3,0.4,0.111,-2.6,-0.3,-2.9,0.0,
Chris Youngblood,23.0,POR,SG,1.0,0.0,9.0,22.4,1.0,1.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,13.5,0.1,0.0,0.1,0.292,8.8,1.6,10.4,0.0,
A.J. Lawson,25.0,TOR,SG,19.0,0.0,182.0,14.6,0.631,0.565,0.226,4.3,17.0,10.6,4.6,2.7,2.1,8.1,17.4,0.2,0.3,0.5,0.14,-0.8,0.8,0.0,0.1,
Malachi Smith,26.0,BKN,SG,10.0,0.0,182.0,15.6,0.648,0.4,0.055,4.3,9.4,6.7,17.8,2.7,2.0,15.1,15.9,0.2,0.1,0.4,0.096,1.3,0.3,1.6,0.2,
RayJ Dennis,24.0,3TM,PG,16.0,0.0,180.0,6.5,0.416,0.534,0.123,4.7,9.3,7.0,22.6,1.1,1.9,16.3,21.7,-0.4,0.1,-0.3,-0.079,-4.1,-1.0,-5.1,-0.1,
RayJ Dennis,24.0,IND,PG,13.0,0.0,168.0,6.4,0.421,0.528,0.125,5.1,8.6,6.8,21.5,0.8,2.0,15.6,22.7,-0.4,0.1,-0.3,-0.086,-3.9,-1.3,-5.3,-0.1,
RayJ Dennis,24.0,LAC,PG,1.0,0.0,4.0,-6.0,,,,0.0,56.8,29.2,0.0,0.0,0.0,100.0,11.1,0.0,0.0,0.0,-0.274,-15.4,-0.3,-15.7,0.0,
RayJ Dennis,24.0,ATL,PG,2.0,0.0,8.0,13.8,0.0,1.0,0.0,0.0,0.0,0.0,55.3,5.9,0.0,0.0,5.2,0.0,0.0,0.0,0.165,-1.7,5.7,4.0,0.0,
Xavier Tillman Sr.,27.0,2TM,C,28.0,1.0,178.0,9.8,0.424,0.419,0.093,12.1,13.4,12.8,9.3,2.3,2.7,15.2,12.8,0.0,0.3,0.2,0.058,-3.4,0.7,-2.7,0.0,
Xavier Tillman Sr.,27.0,BOS,C,14.0,1.0,111.0,11.2,0.5,0.484,0.0,10.1,14.5,12.3,6.0,2.7,1.8,13.9,14.1,0.0,0.2,0.2,0.08,-2.2,1.0,-1.2,0.0,
Xavier Tillman Sr.,27.0,CHA,C,14.0,0.0,67.0,7.3,0.254,0.25,0.333,15.5,11.6,13.5,14.8,1.5,4.1,17.9,10.6,-0.1,0.1,0.0,0.021,-5.5,0.3,-5.2,-0.1,
Jalen Slawson,26.0,IND,SF,8.0,3.0,172.0,12.3,0.49,0.558,0.209,2.5,20.1,11.1,16.8,3.0,5.5,13.0,13.3,0.0,0.3,0.3,0.07,-2.7,1.9,-0.8,0.1,
Andersson Garcia,25.0,UTA,SF,5.0,2.0,169.0,8.4,0.394,0.448,0.31,10.7,16.4,13.5,10.1,2.2,2.3,17.5,9.8,0.0,0.1,0.0,0.014,-5.3,-0.6,-5.9,-0.2,
Hunter Tyson,25.0,DEN,PF,21.0,2.0,162.0,6.4,0.398,0.635,0.25,2.9,21.2,12.5,13.1,0.6,0.6,8.0,16.8,-0.2,0.1,0.0,-0.013,-5.3,-1.6,-6.9,-0.2,
Mason Plumlee,35.0,2TM,C,19.0,2.0,156.0,13.4,0.757,0.0,1.077,11.6,24.0,17.9,15.4,3.1,0.0,38.5,8.4,0.2,0.3,0.5,0.146,-2.0,2.9,1.0,0.1,
Mason Plumlee,35.0,CHA,C,14.0,2.0,125.0,13.5,0.752,0.0,1.0,9.2,26.6,18.1,16.4,2.4,0.0,34.2,8.9,0.2,0.2,0.4,0.142,-1.5,2.7,1.2,0.1,
